sura_no,aya_no,aya_text,madd_6_Lazim,madd_246,madd_6,madd_2,Ikhfaa,Idgham,tafkhim,qalqala,imala
1.0,1.0,اِ۬لْحَمْدُ لِلهِ رَبِّ اِ۬لْعَٰلَمِينَ,[-1],[-1],[36],[31],[-1],[-1],"[18, 19]",[-1],[-1]
1.0,2.0,اَ۬لرَّحْمَٰنِ اِ۬لرَّحِيمِ,[-1],[24],[-1],[11],[-1],"[3, 18]","[4, 5, 6, 19, 20, 21]",[-1],[-1]
1.0,3.0,مَلِكِ يَوْمِ اِ۬لدِّينِ,[-1],[21],[-1],[-1],[-1],[17],[-1],[-1],[-1]
1.0,4.0,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,[-1],[37],[-1],[-1],[-1],[-1],[-1],[-1],[-1]
1.0,5.0,اُ۪هْدِنَا اَ۬لصِّرَٰطَ اَ۬لْمُسْتَقِيمَ,[-1],[36],[-1],[19],[-1],[13],"[14, 15, 16, 17, 18, 20, 21, 34, 35]",[-1],[-1]
1.0,6.0,صِرَٰطَ اَ۬لذِينَ أَنْعَمْتَ عَلَيْهِمْ,[-1],[-1],[-1],[4],[-1],[-1],"[0, 1, 2, 3, 5, 6]",[-1],[-1]
1.0,7.0,غَيْرِ اِ۬لْمَغْضُوبِ عَلَيْهِمْ وَلَا اَ۬لضَّآلِّينَ,"[46, 47]",[51],[-1],[-1],[-1],[-1],"[0, 1, 14, 15, 16, 17, 43, 44, 45]",[-1],[-1]
87.0,1.0,سَبِّحِ اِ۪سْمَ رَبِّكَ اَ۬لَاعْلَي,[-1],[-1],[-1],[-1],[-1],[-1],"[16, 17]",[-1],[-1]
87.0,2.0,اَ۬لذِے خَلَقَ فَسَوّ۪ىٰ,[-1],[-1],[-1],[-1],[-1],[-1],"[8, 9, 12, 13]",[-1],"[19, 20, 21]"
87.0,3.0,وَالذِے قَدَّرَ فَهَد۪ىٰ,[-1],[-1],[-1],[-1],[-1],[2],"[8, 9, 13, 14]",[-1],"[20, 21]"
87.0,4.0,وَالذِےٓ أَخْرَجَ اَ۬لْمَرْع۪ىٰ,[-1],[-1],"[6, 7]",[-1],[-1],[2],"[11, 12, 13, 14, 25, 26]",[-1],"[27, 28]"
87.0,5.0,فَجَعَلَهُۥ غُثَآءً اَحْو۪ىٰ,[-1],[-1],"[16, 17]",[10],[-1],[-1],"[12, 13]",[-1],"[25, 26]"
87.0,6.0,سَنُقْرِئُكَ فَلَا تَنس۪ىٰٓ,[-1],[-1],[-1],[-1],[22],[-1],[-1],"[4, 5]","[23, 24]"
87.0,7.0,إِلَّا مَا شَآءَ اَ۬للَّهُ إِنَّهُۥ يَعْلَمُ اُ۬لْجَهْرَ وَمَا يَخْف۪ىٰ,[-1],[-1],"[13, 14]",[36],"[31, 32, 33]",[-1],"[22, 23, 24, 56, 57, 67, 68]",[-1],"[69, 70]"
87.0,8.0,وَنُيَسِّرُكَ لِلْيُسْر۪ىٰ,[-1],[-1],[-1],[-1],[-1],[-1],[-1],[-1],"[22, 23]"
87.0,9.0,فَذَكِّرِ اِن نَّفَعَتِ اِ۬لذِّكْر۪ىٰ,[-1],[-1],[-1],[-1],"[14, 15, 16]",[27],[-1],[-1],"[33, 34]"
87.0,10.0,سَيَذَّكَّرُ مَنْ يَّخْش۪ىٰ,[-1],[-1],[-1],[-1],"[18, 19, 20]","[15, 16]","[10, 11, 21, 22]",[-1],"[23, 24]"
87.0,11.0,وَيَتَجَنَّبُهَا اَ۬لَاشْقَي,[-1],[-1],[-1],[-1],"[8, 9, 10]",[-1],"[25, 26]",[-1],[-1]
87.0,12.0,اَ۬لذِے يَصْلَى اَ۬لنَّارَ اَ۬لْكُبْر۪ىٰ,[-1],[-1],[-1],[-1],"[20, 21, 22]",[19],"[10, 11, 12, 13, 24, 25]","[34, 35]","[36, 37]"
87.0,13.0,ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحْي۪ىٰ,[-1],[-1],[-1],[-1],"[2, 3, 4]",[-1],[-1],[-1],"[35, 36]"
87.0,14.0,قَدَ اَفْلَحَ مَن تَزَكّ۪ىٰ,[-1],[-1],[-1],[-1],[16],[-1],"[0, 1]",[-1],"[22, 23, 24]"
87.0,15.0,وَذَكَرَ اَ۪سْمَ رَبِّهِۦ فَصَلّ۪ىٰ,[-1],[-1],[-1],[24],[-1],[-1],"[6, 7, 17, 18, 28, 29]",[-1],"[30, 31, 32]"
87.0,16.0,بَلْ تُوثِرُونَ اَ۬لْحَيَوٰةَ اَ۬لدُّنْي۪ا,[-1],[-1],[-1],[26],[-1],"[25, 33]",[-1],[-1],"[39, 40]"
